word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
m o g e,o e,blick,FALSE,-4.882260275,-7.138457137,-7.138122823,1.2721152683397663,1.272113152876291,1.0071558435504173,1.0071621558671449
g e n o,e o,blick,FALSE,-4.882260275,-7.999061128,-7.997974418,1.2480893329653575,1.248089608114631,1.0072723882336487,1.007278613686123
p o d i,o i,blick,FALSE,-4.561919533,-5.752635847,-5.752476182,1.2805414489374074,1.2805385479259344,1.0068062095007226,1.006812782410211
b e g u,e u,blick,FALSE,-4.299063732,-6.430015133,-6.429431634,1.295779417343708,1.2957752464868868,1.0086009976224886,1.0086062328224716
b i t o,i o,blick,FALSE,-4.561919533,-8.468152886,-8.467240109,1.1751515682811373,1.175158557760217,1.0076919490932823,1.0076978618344437
n u m e,u e,blick,FALSE,-4.299063732,-7.971065262,-7.970196979,1.2679263528545885,1.2679246230042482,1.0055125635168523,1.0055201006195555
t u d i,u i,blick,FALSE,-3.978722989,-6.971216726,-6.970018295,1.2763525334522297,1.2763500180538916,1.003974173698196,1.0039828574090464
m i t u,i u,blick,FALSE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
m e t e,e e,wug unsuffixed,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
b e k e,e e,wug unsuffixed,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
n e k i,e i,wug unsuffixed,TRUE,-3.278985186,-3.084222176,-3.084523767,1.4092240120012998,1.4092092650390706,1.073271642347676,1.0732286765733452
m i p e,i e,wug unsuffixed,TRUE,-3.278985186,-6.478915824,-6.478924186,1.3278600667194385,1.3278528196350132,1.029380914642674,1.029370661946243
g i t i,i i,wug unsuffixed,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
p i d i,i i,wug unsuffixed,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
k o b o,o o,wug unsuffixed,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
k o n u,o u,wug unsuffixed,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
d o m u,o u,wug unsuffixed,TRUE,-5.581998079,-4.363678949,-4.364419429,1.1670968542798157,1.1671045293737505,1.0254650132860939,1.0254576792285834
t u g o,u o,wug unsuffixed,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
t u b u,u u,wug unsuffixed,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
g u n u,u u,wug unsuffixed,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
b e p i,e i,wug unsuffixed,TRUE,-3.278985186,-3.084222176,-3.084523767,1.4092240120012998,1.4092092650390706,1.073271642347676,1.0732286765733452
d i m e,i e,wug unsuffixed,TRUE,-3.278985186,-6.478915824,-6.478924186,1.3278600667194385,1.3278528196350132,1.029380914642674,1.029370661946243
p u g o,u o,wug unsuffixed,TRUE,-5.581998079,-10.00535818,-9.999806166,1.1152178544162874,1.115230361129452,1.0014917719453638,1.0015023058648158
n o d o,o o,wug unsuffixed,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
m e t e f i,e e i,wug suffixed,TRUE,-5.078648149,-4.633457207,-4.633850624,1.6854858035791582,1.685453634249283,1.183209943,1.1830798732345047
b e k e f i,e e i,wug suffixed,TRUE,-5.078648149,-4.633457207,-4.633850624,1.6854858035791582,1.685453634249283,1.183209943,1.1830798732345047
n e k i f i,e i i,wug suffixed,TRUE,-4.758307407,-4.282238003,-4.28262791,1.6939119841767993,1.6938790292989263,1.1885893719140586,1.1884555414797795
m i p e f i,i e i,wug suffixed,TRUE,-4.758307407,-5.9698655,-5.970096344,1.612548038894938,1.612522583894869,1.1461953514531196,1.1460928699271027
g i t i f i,i i i,wug suffixed,TRUE,-4.437966665,-5.137330514,-5.137632691,1.6209742194925791,1.6209479789445123,1.1681357800069214,1.1680171942491464
p i d i f i,i i i,wug suffixed,TRUE,-4.437966665,-5.137330514,-5.137632691,1.6209742194925791,1.6209479789445123,1.1681357800069214,1.1680171942491464
k o b o f i,o o i,wug suffixed,FALSE,-7.644516844,-8.326267429,-8.325790548,1.4040947420769647,1.4040886552613505,1.0119438717270377,1.011960094283592
k o n u f i,o u i,wug suffixed,FALSE,-7.0613203,-7.82935023,-7.828662126,1.4517848264553153,1.4517742936336062,1.0287435148683273,1.0287474339923193
d o m u f i,o u i,wug suffixed,FALSE,-7.0613203,-7.82935023,-7.828662126,1.4517848264553153,1.4517742936336062,1.0287435148683273,1.0287474339923193
t u g o f i,u o i,wug suffixed,FALSE,-7.0613203,-10.67774545,-10.67236303,1.399905826591787,1.3999001253893077,1.0060816741604905,1.0061022659890004
t u b u f i,u u i,wug suffixed,FALSE,-6.478123757,-8.098273163,-8.097329401,1.4475959109701375,1.4475857637615634,1.0311093719379278,1.031111527717572
g u n u f i,u u i,wug suffixed,FALSE,-6.478123757,-8.098273163,-8.097329401,1.4475959109701375,1.4475857637615634,1.0311093719379278,1.031111527717572
b e p i f i,e i i,wug suffixed,TRUE,-4.758307407,-4.282238003,-4.28262791,1.6939119841767993,1.6938790292989263,1.1885893719140586,1.1884555414797795
d i m e f i,i e i,wug suffixed,TRUE,-4.758307407,-5.9698655,-5.970096344,1.612548038894938,1.612522583894869,1.1461953514531196,1.1460928699271027
p u g o f i,u o i,wug suffixed,FALSE,-7.0613203,-10.67774545,-10.67236303,1.399905826591787,1.3999001253893077,1.0060816741604905,1.0061022659890004
n o d o f i,o o i,wug suffixed,FALSE,-7.644516844,-8.326267429,-8.325790548,1.4040947420769647,1.4040886552613505,1.0119438717270377,1.011960094283592
m e t e f u,e e u,wug suffixed,FALSE,-6.098726695,-7.979250164,-7.978758492,1.485910583349378,1.48590117,1.0685194048881135,1.0684938696456814
b e k e f u,e e u,wug suffixed,FALSE,-6.098726695,-7.979250164,-7.978758492,1.485910583349378,1.48590117,1.0685194048881135,1.0684938696456814
n e k i f u,e i u,wug suffixed,FALSE,-5.778385953,-8.861205533,-8.857626847,1.494336763947019,1.4943265650020134,1.0747540952370338,1.0747240196477705
m i p e f u,i e u,wug suffixed,FALSE,-5.778385953,-9.315658457,-9.315004211,1.4129728186651578,1.412970119597956,1.031504813493773,1.0315068663382794
g i t i f u,i i u,wug suffixed,FALSE,-5.458045211,-9.716298044,-9.712631628,1.421398999262799,1.4213955146475994,1.0543005033298967,1.0542856724171374
p i d i f u,i i u,wug suffixed,FALSE,-5.458045211,-9.716298044,-9.712631628,1.421398999262799,1.4213955146475994,1.0543005033298967,1.0542856724171374
k o b o f u,o o u,wug suffixed,TRUE,-8.66459539,-6.937310531,-6.937733795,1.2045195218471845,1.2045361909644376,1.0288210276981868,1.0288218676180647
k o n u f u,o u u,wug suffixed,TRUE,-8.081398846,-5.490735386,-5.491730536,1.252209606225535,1.2522218293366933,1.0768947250630416,1.0768547569009752
d o m u f u,o u u,wug suffixed,TRUE,-8.081398846,-5.490735386,-5.491730536,1.252209606225535,1.2522218293366933,1.0768947250630416,1.0768547569009752
t u g o f u,u o u,wug suffixed,TRUE,-8.081398846,-9.288788553,-9.284306274,1.2003306063620067,1.2003476610923949,1.0229588301316397,1.0229640393234731
t u b u f u,u u u,wug suffixed,TRUE,-7.498202303,-5.75965832,-5.760397811,1.2480206907403573,1.2480332994646506,1.0792605821326422,1.079218850626228
g u n u f u,u u u,wug suffixed,TRUE,-7.498202303,-5.75965832,-5.760397811,1.2480206907403573,1.2480332994646506,1.0792605821326422,1.079218850626228
b e p i f u,e i u,wug suffixed,FALSE,-5.778385953,-8.861205533,-8.857626847,1.494336763947019,1.4943265650020134,1.0747540952370338,1.0747240196477705
d i m e f u,i e u,wug suffixed,FALSE,-5.778385953,-9.315658457,-9.315004211,1.4129728186651578,1.412970119597956,1.031504813493773,1.0315068663382794
p u g o f u,u o u,wug suffixed,TRUE,-8.081398846,-9.288788553,-9.284306274,1.2003306063620067,1.2003476610923949,1.0229588301316397,1.0229640393234731
n o d o f u,o o u,wug suffixed,TRUE,-8.66459539,-6.937310531,-6.937733795,1.2045195218471845,1.2045361909644376,1.0288210276981868,1.0288218676180647
