word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
p e m u,e u,blick,FALSE,-4.220570974,-6.440012239,-6.437699524,1.2878533629542208,1.2878384292216127,1.0085814360770577,1.0086076538327324
t i b o,i o,blick,FALSE,-4.605101042,-6.579917399,-6.579462851,1.1737603522043871,1.173796186697342,1.0078225335668418,1.0078515761312086
k i p o,i o,blick,FALSE,-4.605101042,-6.579917399,-6.579462851,1.1737603522043871,1.173796186697342,1.0078225335668418,1.0078515761312086
g e k u,e u,blick,FALSE,-4.220570974,-6.440012239,-6.437699524,1.2878533629542208,1.2878384292216127,1.0085814360770577,1.0086076538327324
b o n i,o i,blick,FALSE,-4.605101042,-5.809638189,-5.80910811,1.2717521313715185,1.2717404653540727,1.0070052539404553,1.0070373386064906
k i b o,i o,blick,FALSE,-4.605101042,-6.579917399,-6.579462851,1.1737603522043871,1.173796186697342,1.0078225335668418,1.0078515761312086
m i g o,i o,blick,FALSE,-4.605101042,-6.579917399,-6.579462851,1.1737603522043871,1.173796186697342,1.0078225335668418,1.0078515761312086
g o n i,o i,blick,FALSE,-4.605101042,-5.809638189,-5.80910811,1.2717521313715185,1.2717404653540727,1.0070052539404553,1.0070373386064906
p u d e,u e,blick,FALSE,-4.220570974,-6.461292342,-6.458682345,1.279035055850138,1.2790198195044151,1.0057793345008756,1.0058159823194137
b o g i,o i,blick,FALSE,-4.605101042,-5.809638189,-5.80910811,1.2717521313715185,1.2717404653540727,1.0070052539404553,1.0070373386064906
d o t i,o i,blick,FALSE,-4.605101042,-5.809638189,-5.80910811,1.2717521313715185,1.2717404653540727,1.0070052539404553,1.0070373386064906
n u m e,u e,blick,FALSE,-4.220570974,-6.461292342,-6.458682345,1.279035055850138,1.2790198195044151,1.0057793345008756,1.0058159823194137
t e d u,e u,blick,FALSE,-4.220570974,-6.440012239,-6.437699524,1.2878533629542208,1.2878384292216127,1.0085814360770577,1.0086076538327324
