type,word
infinitive,s i ɫ k e ɫ e m e k
causative,s i ɫ k e ɫ e t i ɾ
citation,s i ɫ k e ɫ e m e k
citation,s i ɫ k m e
aorist,s i ɫ k e ɾ
causative,s i ɫ k t i ɾ i ɾ
citation,s i ɫ ɫ e
profs,s i ɫ ɫ e d͡ʒ i
predicative,s i ɫ ɫ e j i m
accusative,s i ɫ ɫ e j i
possessive,s i ɫ ɫ e m
citation,s i ɫ m e
aorist,s i ɫ e ɾ
infinitive,s i ɫ m e k
causative,s i ɫ d i ɾ i ɾ
citation,s i ɫ m e k
citation,s i ɫ s i ɫ e
profs,s i ɫ s i ɫ e d͡ʒ i
predicative,s i ɫ s i ɫ e j i m
accusative,s i ɫ s i ɫ e j i
possessive,s i ɫ s i ɫ e m
citation,ʃ i ɫ t
profs,ʃ i ɫ t t͡ʃ i
predicative,ʃ i ɫ t i m
accusative,ʃ i ɫ t i
possessive,ʃ i ɫ t i m
citation,s i m
profs,s i m d͡ʒ i
predicative,s i m i m
accusative,s i m i
possessive,s i m i m
citation,s i m a
profs,s i m a d͡ʒ ɯ
predicative,s i m a j ɯ m
accusative,s i m a j ɯ
possessive,s i m a m
citation,s i m e t ɾ i
profs,s i m e t ɾ i d͡ʒ i
predicative,s i m e t ɾ i j i m
accusative,s i m e t ɾ i j i
possessive,s i m e t ɾ i m
citation,s i m g e
profs,s i m g e d͡ʒ i
predicative,s i m g e j i m
accusative,s i m g e j i
possessive,s i m g e m
citation,s i m i t
profs,s i m i t t͡ʃ i
predicative,s i m i t i m
accusative,s i m i t i
possessive,s i m i t i m
citation,b a ɾ a k a
profs,b a ɾ a k a d͡ʒ ɯ
predicative,b a ɾ a k a j ɯ m
accusative,b a ɾ a k a j ɯ
possessive,b a ɾ a k a m
citation,s e m p o z j u m
profs,s e m p o z j u m d͡ʒ u
predicative,s e m p o z j u m u m
accusative,s e m p o z j u m u
possessive,s e m p o z j u m u m
citation,s i m s a ɾ
profs,s i m s a ɾ d͡ʒ ɯ
predicative,s i m s a ɾ ɯ m
accusative,s i m s a ɾ ɯ
possessive,s i m s a ɾ ɯ m
citation,s i m s i j a h
profs,s i m s i j a h t͡ʃ ɯ
predicative,s i m s i j a h ɯ m
accusative,s i m s i j a h ɯ
possessive,s i m s i j a h ɯ m
citation,s i m y ɫ t a n e
profs,s i m y ɫ t a n e d͡ʒ i
predicative,s i m y ɫ t a n e j i m
accusative,s i m y ɫ t a n e j i
possessive,s i m y ɫ t a n e m
citation,s i m j a
profs,s i m j a d͡ʒ ɯ
predicative,s i m j a j ɯ m
accusative,s i m j a j ɯ
possessive,s i m j a m
citation,s i n a
profs,s i n a d͡ʒ ɯ
predicative,s i n a j ɯ m
accusative,s i n a j ɯ
possessive,s i n a m
citation,s i n a g o g
profs,s i n a g o g d͡ʒ u
predicative,s i n a g o g u m
accusative,s i n a g o g u
possessive,s i n a g o g u m
citation,s i n a g ɾ i t
profs,s i n a g ɾ i t t͡ʃ i
predicative,s i n a g ɾ i t i m
accusative,s i n a g ɾ i t i
possessive,s i n a g ɾ i t i m
citation,s i n a m e k i
profs,s i n a m e k i d͡ʒ i
predicative,s i n a m e k i j i m
accusative,s i n a m e k i j i
possessive,s i n a m e k i m
citation,s i n a ɾ i t
profs,s i n a ɾ i t t͡ʃ i
predicative,s i n a ɾ i t i m
accusative,s i n a ɾ i t i
possessive,s i n a ɾ i t i m
citation,s i n d͡ʒ a p
profs,s i n d͡ʒ a p t͡ʃ ɯ
predicative,s i n d͡ʒ a b ɯ m
accusative,s i n d͡ʒ a b ɯ
possessive,s i n d͡ʒ a b ɯ m
citation,s i n d i ɾ i d͡ʒ i
profs,s i n d i ɾ i d͡ʒ i
predicative,s i n d i ɾ i d͡ʒ i j i m
accusative,s i n d i ɾ i d͡ʒ i j i
possessive,s i n d i ɾ i d͡ʒ i m
citation,s i n d i ɾ m e k
aorist,s i n d i ɾ i ɾ
causative,s i n d i ɾ t i ɾ
citation,s i n e
profs,s i n e d͡ʒ i
predicative,s i n e j i m
accusative,s i n e j i
possessive,s i n e m
citation,s i n e k
profs,s i n e k t͡ʃ i
predicative,s i n e i m
accusative,s i n e i
possessive,s i n e i m
citation,s i n e m a
profs,s i n e m a d͡ʒ ɯ
predicative,s i n e m a j ɯ m
accusative,s i n e m a j ɯ
possessive,s i n e m a m
citation,s i n e m a d͡ʒ ɯ
predicative,s i n e m a d͡ʒ ɯ j ɯ m
accusative,s i n e m a d͡ʒ ɯ j ɯ
possessive,s i n e m a d͡ʒ ɯ m
citation,s i n i
profs,s i n i d͡ʒ i
predicative,s i n i j i m
accusative,s i n i j i
possessive,s i n i m
citation,s i n i k
profs,s i n i k t͡ʃ i
predicative,s i n i i m
accusative,s i n i i
possessive,s i n i i m
citation,s i n i ɾ
profs,s i n i ɾ d͡ʒ i
predicative,s i n i ɾ i m
accusative,s i n i ɾ i
possessive,s i n i ɾ i m
citation,s i n i z m
profs,s i n i z i m d͡ʒ i
predicative,s i n i z m i m
accusative,s i n i z m i
possessive,s i n i z m i m
citation,s i n m e k
aorist,s i n e ɾ
infinitive,s i n d i ɾ i ɾ
citation,s i n m e z
profs,s i n m e z d͡ʒ i
predicative,s i n m e z i m
accusative,s i n m e z i
possessive,s i n m e z i m
citation,b a ɾ b a
profs,b a ɾ b a d͡ʒ ɯ
predicative,b a ɾ b a j ɯ m
accusative,b a ɾ b a j ɯ
possessive,b a ɾ b a m
citation,s i n o n i m
profs,s i n o n i m d͡ʒ i
predicative,s i n o n i n i m
accusative,s i n o n i m i
possessive,s i n o n i m i m
citation,s i n s i
profs,s i n s i d͡ʒ i
predicative,s i n s i j i m
accusative,s i n s i j i
possessive,s i n s i m
citation,s i n t i n e
profs,s i n t i n e d͡ʒ i
predicative,s i n t i n e j i m
accusative,s i n t i n e j i
possessive,s i n t i n e m
citation,s i n j a l
profs,s i n j a l d͡ʒ i
predicative,s i n j a l i m
accusative,s i n j a l i
possessive,s i n j a l i m
citation,s i p a h i
profs,s i p a h i d͡ʒ i
predicative,s i p a h i j i m
accusative,s i p a h i j i
possessive,s i p a h i m
citation,s i p a ɾ i ʃ
profs,s i p a ɾ i ʃ t͡ʃ i
predicative,s i p a ɾ i ʃ i m
accusative,s i p a ɾ i ʃ i
possessive,s i p a ɾ i ʃ i m
citation,s i p e h d a ɾ
profs,s i p e h d a ɾ d͡ʒ ɯ
predicative,s i p e h d a ɾ ɯ m
accusative,s i p e h d a ɾ ɯ
possessive,s i p e h d a ɾ ɯ m
citation,s i p e ɾ
profs,s i p e ɾ d͡ʒ i
predicative,s i p e ɾ i m
accusative,s i p e ɾ i
possessive,s i p e ɾ i m
citation,s i p s i v ɾ i
profs,s i p s i v ɾ i d͡ʒ i
predicative,s i p s i v ɾ i j i m
accusative,s i p s i v ɾ i j i
possessive,s i p s i v ɾ i m
citation,s i ɾ a j e t
profs,s i ɾ a j e t t͡ʃ i
predicative,s i ɾ a j e t i m
accusative,s i ɾ a j e t i
possessive,s i ɾ a j e t i m
citation,s i ɾ e n
profs,s i ɾ e n d͡ʒ i
predicative,s i ɾ e n i m
accusative,s i ɾ e n i
possessive,s i ɾ e n i m
citation,s i ɾ k
profs,s i ɾ k t͡ʃ i
predicative,s i ɾ k i m
accusative,s i ɾ k i
possessive,s i ɾ k i m
citation,s i ɾ k a t
profs,s i ɾ k a t t͡ʃ i
predicative,s i ɾ k a t i m
accusative,s i ɾ k a t i
possessive,s i ɾ k a t i m
citation,s i ɾ k e
profs,s i ɾ k e d͡ʒ i
predicative,s i ɾ k e j i m
accusative,s i ɾ k e j i
possessive,s i ɾ k e m
citation,s i ɾ k e d͡ʒ i
predicative,s i ɾ k e d͡ʒ i j i m
accusative,s i ɾ k e d͡ʒ i j i
possessive,s i ɾ k e d͡ʒ i m
citation,s i ɾ k y ɫ a s j o n
profs,s i ɾ k y ɫ a s j o n d͡ʒ u
predicative,s i ɾ k y ɫ a s j o n u m
accusative,s i ɾ k y ɫ a s j o n u
possessive,s i ɾ k y ɫ a s j o n u m
citation,s i ɾ k y ɫ e ɾ
profs,s i ɾ k y ɫ e ɾ d͡ʒ i
predicative,s i ɾ k y ɫ e ɾ i m
accusative,s i ɾ k y ɫ e ɾ i
possessive,s i ɾ k y ɫ e ɾ i m
citation,s i s
profs,s i s t͡ʃ i
predicative,s i s i m
accusative,s i s i
possessive,s i s i m
citation,s i s ɫ e n m e k
aorist,s i s ɫ e n i ɾ
causative,s i s ɫ e n d i ɾ i ɾ
citation,s i s m i k
profs,s i s m i k t͡ʃ i
predicative,s i s m i k i m
accusative,s i s m i i
possessive,s i s m i i m
citation,s i s t e m
profs,s i s t e m d͡ʒ i
predicative,s i s t e m i m
accusative,s i s t e m i
possessive,s i s t e m i m
citation,s i s t i ɾ e
profs,s i s t i ɾ e d͡ʒ i
predicative,s i s t i ɾ e j i m
accusative,s i s t i ɾ e j i
possessive,s i s t i ɾ e m
citation,s i s t i t
profs,s i s t i t t͡ʃ i
predicative,s i s t i t i m
accusative,s i s t i t i
possessive,s i s t i t i m
citation,s i t
profs,s i t t͡ʃ i
predicative,s i t i m
accusative,s i t i
possessive,s i t i m
citation,s i t a j i ʃ
profs,s i t a j i ʃ t͡ʃ i
predicative,s i t a j i ʃ i m
accusative,s i t a j i ʃ i
possessive,s i t a j i ʃ i m
citation,s i t e
profs,s i t e d͡ʒ i
predicative,s i t e j i m
accusative,s i t e j i
possessive,s i t e m
citation,b a ɾ b e k y
profs,b a ɾ b e k y d͡ʒ y
predicative,b a ɾ b e k y j y m
accusative,b a ɾ b e k y j y
possessive,b a ɾ b e k y m
citation,s i t e m
profs,s i t e m d͡ʒ i
predicative,s i t e m i m
accusative,s i t e m i
possessive,s i t e m i m
citation,s ɯ t i ɫ
citation,s t i ɫ
profs,s t i ɫ d͡ʒ i
predicative,s t i ɫ i m
accusative,s t i ɫ i
possessive,s t i ɫ i m
citation,s i t t e i s e v i ɾ
profs,s i t t e i s e v i ɾ d͡ʒ i
predicative,s i t t e i s e v i ɾ i m
accusative,s i t t e i s e v i ɾ i
possessive,s i t t e i s e v i ɾ i m
citation,s i t t i n
profs,s i t t i n d͡ʒ i
predicative,s i t t i n i m
accusative,s i t t i n i
possessive,s i t t i n i m
citation,s i v i ɫ
profs,s i v i ɫ d͡ʒ i
predicative,s i v i ɫ i m
accusative,s i v i ɫ i
possessive,s i v i ɫ i m
citation,s i v i ɫ d͡ʒ e
profs,s i v i ɫ d͡ʒ e d͡ʒ i
predicative,s i v i ɫ d͡ʒ e j i m
accusative,s i v i ɫ d͡ʒ e j i
possessive,s i v i ɫ d͡ʒ e m
citation,b a ɾ b i t u ɾ a t
profs,b a ɾ b i t u ɾ a t t͡ʃ ɯ
predicative,b a ɾ b i t u ɾ a t ɯ m
accusative,b a ɾ b i t u ɾ a t ɯ
possessive,b a ɾ b i t u ɾ a t ɯ m
citation,s e v i ʃ m e k
citation,s i v ɾ i
profs,s i v ɾ i d͡ʒ i
predicative,s i v ɾ i j i m
accusative,s i v ɾ i j i
possessive,s i v ɾ i m
citation,s i v ɾ i b i b e ɾ
profs,s i v ɾ i b i b e ɾ d͡ʒ i
predicative,s i v ɾ i b i b e ɾ i m
accusative,s i v ɾ i b i b e ɾ i
possessive,s i v ɾ i b i b e ɾ i m
citation,s i j a h
profs,s i j a h t͡ʃ ɯ
predicative,s i j a h ɯ m
accusative,s i j a h ɯ
possessive,s i j a h ɯ m
citation,s i j a h ɯ m s ɯ
profs,s i j a h ɯ m s ɯ d͡ʒ ɯ
predicative,s i j a h ɯ m s ɯ j ɯ m
accusative,s i j a h ɯ m s ɯ j ɯ
possessive,s i j a h ɯ m s ɯ m
citation,b a ɾ b u n j a
profs,b a ɾ b u n j a d͡ʒ ɯ
predicative,b a ɾ b u n j a j ɯ m
accusative,b a ɾ b u n j a j ɯ
possessive,b a ɾ b u n j a m
citation,s i j a s a
profs,s i j a s a d͡ʒ ɯ
predicative,s i j a s a j ɯ m
accusative,s i j a s a j ɯ
possessive,s i j a s a m
citation,s i j a s e t
profs,s i j a s e t t͡ʃ i
predicative,s i j a s e t i m
accusative,s i j a s e t i
possessive,s i j a s e t i m
citation,s i j a s i
profs,s i j a s i d͡ʒ i
predicative,s i j a s i j i m
accusative,s i j a s i j i
possessive,s i j a s i m
citation,s i j a t i k
profs,s i j a t i k t͡ʃ i
predicative,s i j a t i k i m
accusative,s i j a t i k i
possessive,s i j a t i i m
citation,s i j m e k
aorist,s i j e ɾ
infinitive,s i j d i ɾ i ɾ
citation,s i j o n i s t
profs,s i j o n i s t t͡ʃ i
predicative,s i j o n i s t i m
accusative,s i j o n i s t i
possessive,s i j o n i s t i m
citation,b a ɾ b u t
profs,b a ɾ b u t t͡ʃ u
predicative,b a ɾ b u t u m
accusative,b a ɾ b u t u
possessive,b a ɾ b u t u m
citation,s i z
profs,s i z d͡ʒ i
predicative,s i z i m
accusative,s i z i
possessive,s i z i m
citation,s i z i n k i
profs,s i z i n k i d͡ʒ i
predicative,s i z i n k i j i m
accusative,s i z i n k i n i
possessive,s i z i n k i m
citation,s ɯ k a n d a ɫ
profs,s ɯ k a n d a ɫ d͡ʒ ɯ
predicative,s ɯ k a n d a ɫ ɯ m
accusative,s ɯ k a n d a ɫ ɯ
possessive,s ɯ k a n d a ɫ ɯ m
citation,s ɯ ɫ a j d
profs,s ɯ ɫ a j d d͡ʒ ɯ
predicative,s ɯ ɫ a j d ɯ m
accusative,s ɯ ɫ a j d ɯ
possessive,s ɯ ɫ a j d ɯ m
citation,s ɯ m o k i n
profs,s ɯ m o k i n d͡ʒ i
predicative,s ɯ m o k i n i m
accusative,s ɯ m o k i n i
possessive,s ɯ m o k i n i m
citation,s ɯ n o b
profs,s ɯ n o b t͡ʃ u
predicative,s ɯ n o b u m
accusative,s ɯ n o b u
possessive,s ɯ n o b u m
citation,s o b e
profs,s o b e d͡ʒ i
predicative,s o b e j i m
accusative,s o b e j i
possessive,s o b e m
citation,b a ɾ t͡ʃ a
profs,b a ɾ t͡ʃ a d͡ʒ ɯ
predicative,b a ɾ t͡ʃ a j ɯ m
accusative,b a ɾ t͡ʃ a j ɯ
possessive,b a ɾ t͡ʃ a m
citation,s œ v m e k
aorist,s œ v e ɾ
causative,s œ v d y ɾ y ɾ
citation,s œ y ʃ
profs,s œ y ʃ t͡ʃ y
predicative,s œ y ʃ y m
accusative,s œ y ʃ y
possessive,s œ y ʃ y m
citation,s œ y t
profs,s œ y t t͡ʃ y
predicative,s œ y d y m
accusative,s œ y d y
possessive,s œ y d y m
citation,s œ k m e
aorist,s œ k e ɾ
causative,s œ k t y ɾ y ɾ
citation,s œ k m e k
infinitive,s œ k t y ɾ y ɾ
citation,s œ k t y ɾ m e k
aorist,s œ k t y ɾ y ɾ
causative,s œ k t y ɾ t y ɾ
citation,s œ k y k
profs,s œ k y k t͡ʃ y
predicative,s œ k y y m
accusative,s œ k y y
possessive,s œ k y y m
citation,a d e t t͡ʃ e
profs,a d e t t͡ʃ e d͡ʒ i
predicative,a d e t t͡ʃ e j i m
accusative,a d e t t͡ʃ e j i
possessive,a d e t t͡ʃ e m
citation,s œ k y ɫ m e k
aorist,s œ k y ɫ y ɾ
causative,s œ k y ɫ t y ɾ
citation,s œ k y n
profs,s œ k y n d͡ʒ y
predicative,s œ k y n y m
accusative,s œ k y n y
possessive,s œ k y n y m
citation,s œ m y ɾ g e
profs,s œ m y ɾ g e d͡ʒ i
predicative,s œ m y ɾ g e j i m
accusative,s œ m y ɾ g e j i
possessive,s œ m y ɾ g e m
citation,s œ m y ɾ m e
aorist,s œ m y ɾ y ɾ
infinitive,s œ m y ɾ m e k
causative,s œ m y ɾ t y ɾ
citation,s œ m y ɾ m e k
citation,s œ n d y ɾ m e
aorist,s œ n d y ɾ y ɾ
infinitive,s œ n d y ɾ m e k
causative,s œ n d y ɾ t y ɾ
citation,s œ n d y ɾ m e k
citation,s œ n m e
aorist,s œ n e ɾ
infinitive,s œ n m e k
causative,s œ n d y ɾ y ɾ
citation,s œ n m e k
infinitive,s œ n d y ɾ y ɾ
citation,s œ n y k
profs,s œ n y k t͡ʃ y
predicative,s œ n y k y m
predicative,s œ n y y m
accusative,s œ n y y
possessive,s œ n y y m
citation,s œ ɾ
profs,s œ ɾ d͡ʒ y
predicative,s œ ɾ y m
accusative,s œ ɾ y
possessive,s œ ɾ y m
citation,s œ v d y ɾ m e k
aorist,s œ v d y ɾ y ɾ
causative,s œ v d y ɾ t y ɾ
citation,s œ v e
infinitive,s œ v m e k
citation,s œ v g y
profs,s œ v g y d͡ʒ y
predicative,s œ v g y j y m
accusative,s œ v g y j y
possessive,s œ v g y m
causative,s œ v d y ɾ t m e k
citation,s œ j ɫ e m
profs,s œ j ɫ e m d͡ʒ i
predicative,s œ j ɫ e m i m
accusative,s œ j ɫ e m i
possessive,s œ j ɫ e m i m
citation,s œ j ɫ e m e k
aorist,s œ j ɫ e ɾ
causative,s œ j ɫ e t i ɾ
citation,s œ j ɫ e n d͡ʒ e
profs,s œ j ɫ e n d͡ʒ e d͡ʒ i
predicative,s œ j ɫ e n d͡ʒ e j i m
accusative,s œ j ɫ e n d͡ʒ e j i
possessive,s œ j ɫ e n d͡ʒ e m
citation,s œ j ɫ e ʃ i
profs,s œ j ɫ e ʃ i d͡ʒ i
predicative,s œ j ɫ e ʃ i j i m
accusative,s œ j ɫ e ʃ i j i
possessive,s œ j ɫ e ʃ i m
citation,s œ z
profs,s œ z d͡ʒ y
predicative,s œ z y m
accusative,s œ z y
possessive,s œ z y m
citation,s œ z a v d͡ʒ ɯ ɫ ɯ ɯ
profs,s œ z a v d͡ʒ ɯ ɫ ɯ ɯ d͡ʒ ɯ
predicative,s œ z a v d͡ʒ ɯ ɫ ɯ ɯ j ɯ m
accusative,s œ z a v d͡ʒ ɯ ɫ ɯ ɯ n ɯ
possessive,s œ z a v d͡ʒ ɯ ɫ ɯ ɯ m
citation,s œ z b a ʃ ɯ
profs,s œ z b a ʃ t͡ʃ ɯ
predicative,s œ z b a ʃ ɯ j ɯ m
accusative,s œ z b a ʃ ɯ n ɯ
possessive,s œ z b a ʃ ɯ m
citation,s o b a
profs,s o b a d͡ʒ ɯ
predicative,s o b a j ɯ m
accusative,s o b a j ɯ
possessive,s o b a m
citation,s o d a
profs,s o d a d͡ʒ ɯ
predicative,s o d a j ɯ m
accusative,s o d a j ɯ
possessive,s o d a m
citation,b a ɾ d a k
profs,b a ɾ d a k t͡ʃ ɯ
predicative,b a ɾ d a ɯ m
accusative,b a ɾ d a ɯ
possessive,b a ɾ d a ɯ m
citation,s o d j u m
profs,s o d j u m d͡ʒ u
predicative,s o d j u m u m
accusative,s o d j u m u
possessive,s o d j u m u m
citation,s o f a
profs,s o f a d͡ʒ ɯ
predicative,s o f a j ɯ m
accusative,s o f a j ɯ
possessive,s o f a m
citation,s o f i z m
profs,s o f i z m d͡ʒ i
predicative,s o f i z m i m
accusative,s o f i z m i
possessive,s o f i z m i m
citation,s o f ɾ a
profs,s o f ɾ a d͡ʒ ɯ
predicative,s o f ɾ a j ɯ m
accusative,s o f ɾ a j ɯ
possessive,s o f ɾ a m
citation,s o f t a
profs,s o f t a d͡ʒ ɯ
predicative,s o f t a j ɯ m
accusative,s o f t a j ɯ
possessive,s o f t a m
citation,s o f u
profs,s o f u d͡ʒ u
predicative,s o f u j u m
accusative,s o f u j u
possessive,s o f u m
citation,s o a n
profs,s o a n d͡ʒ ɯ
predicative,s o a n ɯ m
accusative,s o a n ɯ
possessive,s o a n ɯ m
citation,b a ɾ e m
profs,b a ɾ e m d͡ʒ i
predicative,b a ɾ e m i m
accusative,b a ɾ e m i
possessive,b a ɾ e m i m
citation,s o u k
profs,s o u k t͡ʃ u
predicative,s o u u m
accusative,s o u u
possessive,s o u u m
citation,s o u k a ɫ ɯ n
profs,s o u k a ɫ ɯ n d͡ʒ ɯ
predicative,s o u k a ɫ ɯ n ɯ m
accusative,s o u k a ɫ ɯ n ɯ
possessive,s o u k a ɫ ɯ n ɯ m
citation,s o u m a
aorist,s o u ɾ
infinitive,s o u m a k
causative,s o u t u ɾ
citation,s o u m a k
citation,s o u ʃ m a k
aorist,s o u ʃ u ɾ
causative,s o u ʃ t u ɾ u ɾ
citation,s o u t k a n
profs,s o u t k a n d͡ʒ ɯ
predicative,s o u t k a n ɯ m
accusative,s o u t k a n ɯ
possessive,s o u t k a n ɯ m
citation,b a ɾ f i k s
profs,b a ɾ f i k s t͡ʃ i
predicative,b a ɾ f i k s i m
accusative,b a ɾ f i k s i
possessive,b a ɾ f i k s i m
citation,s o u t m a k
aorist,s o u t u ɾ
causative,s o u t t u ɾ u ɾ
citation,s o h b e t
profs,s o h b e t t͡ʃ i
predicative,s o h b e t i m
accusative,s o h b e t i
possessive,s o h b e t i m
citation,s o k a k
profs,s o k a k t͡ʃ ɯ
predicative,s o k a ɯ m
accusative,s o k a ɯ
possessive,s o k a ɯ m
citation,s o k m a
aorist,s o k a ɾ
infinitive,s o k m a k
causative,s o k t u ɾ u ɾ
citation,s o k m a k
citation,s o k t u ɾ m a k
aorist,s o k t u ɾ u ɾ
causative,s o k t u ɾ t u ɾ
citation,s o k u ɫ g a n
profs,s o k u ɫ g a n d͡ʒ ɯ
predicative,s o k u ɫ g a n ɯ m
accusative,s o k u ɫ g a n ɯ
possessive,s o k u ɫ g a n ɯ m
citation,s o k u ɫ m a k
aorist,s o k u ɫ u ɾ
causative,s o k u ɫ t u ɾ
citation,s o k u m
profs,s o k u m d͡ʒ u
predicative,s o k u m u m
accusative,s o k u m u
possessive,s o k u m u m
citation,s o k u ʃ m a k
aorist,s o k u ʃ u ɾ
causative,s o k u ʃ t u ɾ u ɾ
citation,s o ɫ
profs,s o ɫ d͡ʒ u
predicative,s o ɫ u m
accusative,s o ɫ u
possessive,s o ɫ u m
citation,s o ɫ a t͡ʃ ɯ k
profs,s o ɫ a t͡ʃ ɯ k t͡ʃ ɯ
predicative,s o ɫ a t͡ʃ ɯ ɯ m
accusative,s o ɫ a t͡ʃ ɯ ɯ
possessive,s o ɫ a t͡ʃ ɯ ɯ m
citation,s o ɫ d u ɾ m a k
aorist,s o ɫ d u ɾ u ɾ
causative,s o ɫ d u ɾ t u ɾ
citation,s o ɫ e n o i t
profs,s o ɫ e n o i t t͡ʃ i
predicative,s o ɫ e n o i t i m
accusative,s o ɫ e n o i t i
possessive,s o ɫ e n o i t i m
citation,s o ɫ g u n
profs,s o ɫ g u n d͡ʒ u
predicative,s o ɫ g u n u m
accusative,s o ɫ g u n u
possessive,s o ɫ g u n u m
citation,s o ɫ ɫ a m a k
aorist,s o ɫ ɫ a ɾ
causative,s o ɫ ɫ a t ɯ ɾ
citation,s o ɫ m a k
aorist,s o ɫ a ɾ
causative,s o ɫ d u ɾ u ɾ
citation,s o ɫ o
profs,s o ɫ o d͡ʒ u
predicative,s o ɫ o j u m
accusative,s o ɫ o j u
possessive,s o ɫ o m
citation,s o ɫ y s j o n
profs,s o ɫ y s j o n d͡ʒ u
predicative,s o ɫ y s j o n u m
accusative,s o ɫ y s j o n u
possessive,s o ɫ y s j o n u m
citation,s o ɫ u d͡ʒ a n
profs,s o ɫ u d͡ʒ a n d͡ʒ ɯ
predicative,s o ɫ u d͡ʒ a n ɯ m
accusative,s o ɫ u d͡ʒ a n ɯ
possessive,s o ɫ u d͡ʒ a n ɯ m
citation,s o ɫ u g a n
profs,s o ɫ u g a n d͡ʒ ɯ
predicative,s o ɫ u g a n ɯ m
accusative,s o ɫ u g a n ɯ
possessive,s o ɫ u g a n ɯ m
citation,s o ɫ u k
profs,s o ɫ u k t͡ʃ u
predicative,s o ɫ u u m
accusative,s o ɫ u u
possessive,s o ɫ u u m
citation,b a ɾ i
profs,b a ɾ i d͡ʒ i
predicative,b a ɾ i j i m
accusative,b a ɾ i j i
possessive,b a ɾ i m
citation,s o ɫ u k ɫ a n m a k
aorist,s o ɫ u k ɫ a n ɯ ɾ
causative,s o ɫ u k ɫ a n d ɯ ɾ ɯ ɾ
citation,s o ɫ u m a k
aorist,s o ɫ u ɾ
infinitive,s o ɫ u t u ɾ
citation,s o m
profs,s o m d͡ʒ u
predicative,s o m u m
accusative,s o m u
possessive,s o m u m
citation,s o m u n
profs,s o m u n d͡ʒ u
predicative,s o m u n u m
accusative,s o m u n u
possessive,s o m u n u m
citation,s o m u ɾ d a n m a k
aorist,s o m u ɾ d a n ɯ ɾ
causative,s o m u ɾ d a t ɯ ɾ
citation,s o m u ɾ t m a k
aorist,s o m u ɾ t u ɾ
causative,s o m u ɾ t t u ɾ u ɾ
citation,s o m u t
profs,s o m u t t͡ʃ u
predicative,s o m u t u m
accusative,s o m u t u
possessive,s o m u t u m
citation,s o m j a
profs,s o m j a d͡ʒ ɯ
predicative,s o m j a j ɯ m
accusative,s o m j a j ɯ
possessive,s o m j a m
citation,s o m j e
profs,s o m j e d͡ʒ i
predicative,s o m j e j i m
accusative,s o m j e ɫ i
possessive,s o m j e m
citation,s o n
profs,s o n d͡ʒ u
predicative,s o n u m
accusative,s o n u
possessive,s o n u m
citation,s o n b a h a ɾ
profs,s o n b a h a ɾ d͡ʒ ɯ
predicative,s o n b a h a ɾ ɯ m
accusative,s o n b a h a ɾ ɯ
possessive,s o n b a h a ɾ ɯ m
citation,s o n d a
profs,s o n d a d͡ʒ ɯ
predicative,s o n d a j ɯ m
accusative,s o n d a j ɯ
possessive,s o n d a m
citation,ʃ o n d a ʒ
profs,ʃ o n d a ʒ d͡ʒ ɯ
predicative,ʃ o n d a ʒ ɯ m
accusative,ʃ o n d a ʒ ɯ
possessive,ʃ o n d a ʒ ɯ m
citation,s o n e
profs,s o n e d͡ʒ i
predicative,s o n e j i m
accusative,s o n e j i
possessive,s o n e m
citation,s o n ɾ a
profs,s o n ɾ a d͡ʒ ɯ
predicative,s o n ɾ a j ɯ m
accusative,s o n ɾ a j ɯ
possessive,s o n ɾ a m
citation,s o n s u z
profs,s o n s u z d͡ʒ u
predicative,s o n s u z u m
accusative,s o n s u z u
possessive,s o n s u z u m
citation,s o n u t͡ʃ
profs,s o n u t͡ʃ t͡ʃ u
predicative,s o n u d͡ʒ u m
accusative,s o n u d͡ʒ u
possessive,s o n u d͡ʒ u m
citation,s o n u t͡ʃ ɫ a m a k
aorist,s o n u t͡ʃ ɫ a ɾ
causative,s o n u t͡ʃ ɫ a t ɯ ɾ
citation,s o n u n d͡ʒ u
profs,s o n u n d͡ʒ u
predicative,s o n u n d͡ʒ u j u m
accusative,s o n u n d͡ʒ u j u
possessive,s o n u n d͡ʒ u m
citation,s o p
profs,s o p t͡ʃ u
predicative,s o p u m
accusative,s o p u
possessive,s o p u m
citation,s o p a
profs,s o p a d͡ʒ ɯ
predicative,s o p a j ɯ m
accusative,s o p a j ɯ
possessive,s o p a m
citation,s o p a d͡ʒ ɯ k
profs,s o p a d͡ʒ ɯ k d͡ʒ ɯ
predicative,s o p a d͡ʒ ɯ k ɯ m
accusative,s o p a d͡ʒ ɯ ɯ
possessive,s o p a d͡ʒ ɯ ɯ m
citation,s o p ɫ u
profs,s o p ɫ u d͡ʒ u
predicative,s o p ɫ u j u m
accusative,s o p ɫ u j u
possessive,s o p ɫ u m
citation,s o p ɾ a n o
profs,s o p ɾ a n o d͡ʒ u
predicative,s o p ɾ a n o j u m
accusative,s o p ɾ a n o j u
possessive,s o p ɾ a n o m
citation,s o ɾ
profs,s o ɾ d͡ʒ u
predicative,s o ɾ u m
accusative,s o ɾ u
possessive,s o ɾ u m
citation,s o ɾ d u ɾ m a k
aorist,s o ɾ d u ɾ u ɾ
citation,s o ɾ g u
profs,s o ɾ g u d͡ʒ u
predicative,s o ɾ g u j u m
accusative,s o ɾ g u j u
possessive,s o ɾ g u m
