lexeme	etymology	ulcase	id	source
arasi@z	Tr	l	1129	ize
arasta	Fars	l	1130	tdk
araste	Fars	l	1131	mno1
aratmak	Tr	l	1132	ize
aratti@rmak	Tr	l	1133	ize
katran	Ar	l	11332	ize
kauc@uk	Fr caoutchouc	l	11339	ize
aratu@mce	Tr	l	1134	ize
kavaf	Ar	l	11341	ize
arayi@ci@	Tr	l	1135	ize
kavanoz	Itl campana/camnpan	l	11350	ize
kavat	Erm	l	11355	ize
kavata	Erm	l	11356	ize
kavga	Fars	l	11359	ize
arayi@g@i@mli@k	Tr	l	1136	ize
arayi@s@	Tr	l	1137	ize
arayis@	Fars	l	1138	mno1
kavs@ak	Tr	l	11385	ize
kavuk	Lat	l	11387	ize
kavun	Tr kag@un	l	11389	ize
araz	Ar	l	1139	gh
arazi	Ar	l	1141	mno1
kaygana	Fars	l	11418	ize
kaygi@	Tr	l	11419	ize
arbede	Ar arbede	l	1142	ize
kayi@k	Tr	l	11423	ize
arbitraj	Br	l	1143
kayi@s@	Erm	l	11431	ize
kayi@s@bali@g@i@	Erm + tr	l	11432	ize; ize
ard	Tr	l	1144	ize
kaymakam	Ar	l	11441	ize
ard-	Tr	l	1145	ize
kaynamak	Tr	l	11450	ize
kaynana	Ar+tr	l	11451	ize
kaynata	Ar+tr	l	11456	ize
kaytarmak	Tr	l	11473	ize
kaz	Tr	l	11478	ize
kaza	Ar	l	11479	ize
kazanc	Tr	l	11486	ize
kazanc@	Tr	l	11487	ize
kazanmak	Tr	l	11491	ize
kazi@k	Tr	l	11507	ize
ardi@c	Mon/sansk artsa	l	1151	ize
kazi@mak	Tr	l	11511	ize
kazma	Tr	l	11514	ize
kazmak	Tr	l	11515	ize
kazmir	Fr casimir	l	11516	ize
ardi@c@	Mon/sansk artsa	l	1152	ize
kebab	Ar	l	11524	ize
kebap	Ar	l	11526	ize
kebe	Yun	l	11527	ize
kedi	Yun	l	11545	ize
kefal	Yun	l	11552	ize
kefgir	Yun	l	11562	ct
ardiye	Ar	l	1157	gh
kel	Fars	l	11580	ize
kelek	Fars	l	11589	ize
kelempe	Yun?	l	11591	ct
kelep	Fars	l	11592	ize
kelepc@e	Fars	l	11593	ize
arduvaz	Fr	l	1160	oxford
arefe	Ar	l	1161	mno1
kemer	Fars	l	11619	ize
arena	Br	l	1162
kemik	Sanskr	l	11623	ize
areometre	Br	l	1163
kenar	Fars	l	11638	ize
arg	Br	l	1164
kene	Fars	l	11647	ize
kenef	Ar	l	11648	ize
kenevir	Yun	l	11651	ize
kent	Sog@	l	11655	ize
kental	Fr quintal	l	11656	ize
kepaze	Fars	l	11660	ize
kepc@e	Fars	l	11663	ize
kepenk	Erm	l	11667	ize
argali@	Lat	l	1167	ap
kerata	Yun	l	11677	ize
kerempe	Yun	l	11682	ize
kerevet	Yun	l	11685	ize; ct
kereviz	Ar	l	11688	ize
keriz	Fars	l	11694	ize
kerpeten	Ar	l	11702	ize
kerpic	Tr	l	11703	ize
kerpic@	Tr	l	11704	ize
kerte	Itl quatro	l	11707	ize
argo	Br	l	1171
kertik	Tr	l	11712	ize
kertmek	Tr	l	11713	ize
kervan	Fars	l	11715	ize
argon	Br	l	1172
kes@is@	Fars	l	11727	ize
kes@kek	Ar	l	11729	ize
argonot	Br	l	1173
argu@man	Br	l	1174
ari@	Sanskr; ar?	l	1175	ize; s75
kesmek	Tr	l	11776	ize
ari@k	Sanskr-tr	l	1178	ize
kestane	Lat	l	11787	ize
ari@kil	Sanskr+fars	l	1179	ize
kevgir	Yun	l	11805	ct
ari@lamak	Sanskr-tr	l	1181	ize
ari@ndi@rmak	Sanskr-tr-tr-tr	l	1182	ize
ki@ble	Hitl	l	11827	ize
ki@g@	Tr	l	11833	ize
ki@h	Tr	l	11834	ize
ki@ki@rdak	Tr	l	11837	ize
ki@ki@rdamak	Tr	l	11838	ize
ki@l	Tr	l	11839	ize
ari@ti@ci@	Sanskr-tr-tr	l	1185	ize
ki@li@bi@k	Tr	l	11851	ize
ki@li@f	Ar	l	11855	ize
ari@tma	Sanskr-tr	l	1187	ize
ki@na	Ar	l	11872	ize
ki@naki@na	Lat	l	11875	ize
ki@namak	Tr	l	11877	ize
ari@tmak	Sanskr-tr-tr	l	1188	ize
ari@z	Ar	l	1189	gh
ki@r	Yun	l	11891	ize
ki@rac	Su@m-tr	l	11894	ize
ki@rac@	Su@m-tr	l	11895	ize
ari@za	Ar a@ri@za	l	1190	ize
ki@ranta	Itl quaranta	l	11902	ize
ari@zalanmak	Ar-tr-tr	l	1191	ize
arif	Ar	l	1192	gh
arifane	Ar	l	1193	s75
arife	Ar	l	1194	mno1
ki@rmi@zi@	Ar	l	11944	ize
ki@rtasiye	Yun	l	11953	ize
aristokrasi	Br	l	1196
aritmetik	Fr arithmetique	l	1197	ize
ki@si@r	Mon	l	11979	ize
aritmik	Rom	l	1198
ariya	Itl	l	1199	ap
ki@srak	Mon	l	11997	ize
acaba	Ar	l	120	ize, s75
ariyet	Ar	l	1200	gh
ki@t	Ar	l	12004	ize
ariz	Ar	l	1201	gh
ki@ti@r	Tr	l	12010	ize
ki@tlama	Ar-tr-tr	l	12013	ize
ki@vanc	Tr	l	12019	ize
ariza	Ar	l	1202	gh
ki@vanc@	Tr	l	12020	ize
ki@vanmak	Tr	l	12022	ize
arizamik	Br	l	1203
arka	Tr (as arkatu, yun	l	1205	ize
ki@z	Tr	l	12058	ize
arkabo@lge	Tr + tr	l	1206	ize
ki@zami@k	Tr	l	12063	ize
ki@zarmak	Tr	l	12065	ize
ki@zi@l	Tr	l	12071	ize
arkadas@	Tr	l	1208	ize
ki@zmak	Tr	l	12080	ize
kibar	Ar	l	12081	ize
kibir	Ar	l	12084	ize
kibrit	Ar	l	12085	ize
arkadas@c@a	Tr	l	1209	ize
kil	Fars	l	12093	ize
kile	Ar	l	12095	ize
kilid	Yun	l	12098	ize
kilim	Fars	l	12099	ize
acaib	Ar	l	121	mno1
arkaik	Br	l	1210
kilise	Yun	l	12101	ize
arkalamak	Tr	l	1211	ize
kimya	Ar	l	12118	ize
arkdu@zen	Tr + tr	l	1212	ize
kin	Fars	l	12121	ize
kinaye	Ar	l	12122	ize
arkebu@z	Br	l	1213
kiraz	Es an	l	12138	ize
arkeen	Br	l	1214
kirec	Lat	l	12141	ize
kirec@	Lat	l	12142	ize
kiremit	Yun	l	12144	ize
kirizma	Yun; yun	l	12149	ize; ct
arkegon	Br	l	1215
kirmen	Tr	l	12154	ize
kirtil	Yun	l	12158	ct
arkeolog	Br	l	1216
kirve	Yun/yezidi^	l	12160	ize
kis@nis@	Fars	l	12167	ize
kitab	Ar	l	12175	ize
kitap	Ar	l	12179	ize
arkoz	Br	l	1218
kitara	Yun	l	12181	ize
arlanmak	Ar-tr-tr	l	1219	ize
acaibisebaia@lem	Ar	l	122	mno1
arma	Lat arma	l	1220	ize
armaci@li@k	Lat-tr-tr	l	1221	ize
armador	Br	l	1222
armadura	Itl	l	1223	tdk
armag@an	Fars ermag@a@n	l	1224	ize
armato@r	Br	l	1225
armoni	Br	l	1226
armoz	Yun	l	1227	tdk
armud	Fars	l	1228	ize
armudiye	Fars	l	1229	ize
acaip	Ar	l	123	s75
armut	Fars emru@@d	l	1230	ize
koca	Tr	l	12303	ize
kodaman	Tr	l	12308	ize
armutkabag@i@	Fars+tr	l	1231	ize
kof	Yun	l	12313	ize
kofana	Yun	l	12315	ize
armuz	Yun	l	1232
arnavud	Ar?	l	1233	gh
koklamak	Tr	l	12331	ize
kokmak	Tr	l	12333	ize
kokoroz	Yun	l	12338	ize
arnika	Yun	l	1234	tdk
kola	Yun	l	12348	ize
arnuvo	Br	l	1235
aromatik	Br	l	1236
kolera	Yun	l	12363	ize
kollamak	Tr	l	12369	ize
arozo@z	Br	l	1237
arpag@	Tr	l	1241	tdk
koms@u	Tr	l	12411	ize
arpasuyu	? + tr	l	1244	ize
arpej	Rom	l	1245
ars@	Fr	l	1246	ap
ars@e	Fr	l	1247	ap
konus@mak	Tr	l	12471	ize
konyak	Fr cognac	l	12476	ize
kopc@a	Yun	l	12486	ize
kopil	Arn/yun	l	12487	ize
acayib	Ar	l	125	s75
ars@iv	Br	l	1250
arsa	Ar	l	1251	mno1
arsenik	Br	l	1252
korsan	Itl corsaro	l	12529	ize
arsi@z	Ar -tr	l	1253	mno1
koru	Tr	l	12535	ize
arslan	Tr ars + chi lung	l	1254	ize
art	Tr	l	1255	ize
kos@mak	Tr	l	12551	ize
kos@ul	Tr	l	12556	ize
kos@um	Tr	l	12559	ize
artag@an	Tr	l	1256	ize
artakalan	Tr	l	1257	ize
kotarmak	Tr	l	12571	ize
artakalmak	Tr	l	1258	ize
kovmak	Tr	l	12589	ize
artam	Tr	l	1259	ize
kovuk	Tr	l	12592	ize
koy	Tr	l	12597	ize
acayip	Ar	l	126	ize, s75
