"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
"j a c ø t͡ʃ","yaköç","aø",-21.596104374841666,-Inf,-22.599644393527782,1.31698528948836,1.0178198509358245,1.316717900772158,1.0171013441808128,6,"yaköç.mp3","Task",1
"ɫ a ʒ ɯ ʒ","lajıj","aɯ",-21.057393014683385,-Inf,-26.41048458696313,1.3326568898923266,1.0026538128249567,1.3323604104033762,1.0027322776999663,6,"lajıj.mp3","Task",1
"ɫ a m ɯ j","lamıy","aɯ",-15.11857151857796,-20.33622952955124,-20.330363342345912,1.4001995331332835,1.017897430130006,1.3997789734141448,1.0171616356786684,6,"lamıy.mp3","Task",1
"l e ʒ a v","lejav","ea",-20.032673267265825,-26.44332906685423,-26.14940301912727,1.3816363028138647,1.0061260075164613,1.381238823618678,1.0059671413264173,6,"lejav.mp3","Task",1
"m e t e ɾ","meter","ee",-13.722605695771906,-12.003654907782868,-12.023346713937531,1.5195622914746405,1.0525880770319855,1.518910401773783,1.0498613480187184,6,"meter.mp3","Task",1
"c e d͡ʒ e t͡ʃ","keceç","ee",-20.132543384729967,-Inf,-23.078955930544776,1.3025086740061806,1.007703124650714,1.30225682196575,1.0074974497629463,6,"keceç.mp3","Task",1
"b e ʒ i l","bejil","ei",-20.15766503592153,-17.87290940676915,-18.003973266743422,1.3606430151485247,1.0147080117893146,1.3602899179920174,1.0141386071612013,6,"bejil.mp3","Task",1
"t e k o n","tekon","eo",-14.998265880403986,-12.987925813400334,-13.012766174055423,1.404395408692991,1.0462338914653162,1.4039515023966052,1.043960708572914,6,"tekon.mp3","Task",1
"b e j o p","beyop","eo",-17.621956818911904,-14.710265369997016,-14.747288468151918,1.318235195988115,1.023964703711502,1.3179604495421229,1.0229099718204642,6,"beyop.mp3","Task",1
"ɟ e g u j","geguy","eu",-21.813613758746683,-Inf,-27.77270366778515,1.2429834228927066,1.0016771227161092,1.2428362044265289,1.0018008835043444,6,"geguy.mp3","Task",1
"b e ʒ y z","bejüz","ey",-20.38453775562813,-17.968651889022336,-17.963773735189676,1.2791360964148726,1.0135348320226718,1.278929028131013,1.0130354616378874,6,"bejüz.mp3","Task",1
"b e d͡ʒ y z","becüz","ey",-18.322376643949248,-15.50382960677507,-15.540572147404909,1.291454857997779,1.017144724013624,1.2912263401344954,1.0164538694214755,6,"becüz.mp3","Task",1
"b e t͡ʃ ø z","beçöz","eø",-19.55856303979421,-16.45022001700887,-16.488509727521837,1.2699076960082727,1.015705436550192,1.2697183110910075,1.0150951236806631,6,"beçöz.mp3","Task",1
"n e m ɯ v","nemıv","eɯ",-16.2679106094412,-21.623136884117503,-21.602958834317167,1.3065266810918763,1.0163019738273251,1.3062710632304733,1.015657700859542,6,"nemıv.mp3","Task",1
"b e ʒ ɯ z","bejız","eɯ",-19.881988712701524,-20.15074841057007,-19.602322161163336,1.3088813810464754,1.014317355661407,1.308620171979486,1.0137690028078854,6,"bejız.mp3","Task",1
"ɟ i ʒ a ʒ","gijaj","ia",-25.070573459054387,-28.408200172943992,-28.11389151899236,1.2792842518640677,1.001614798833574,1.2790676617380563,1.0017356621916462,6,"gijaj.mp3","Task",1
"n i l e s","niles","ie",-16.331548266468857,-22.702137034627185,-22.335041029784072,1.2559429323718037,1.0105370402756846,1.2557640746194505,1.01014499607184,6,"niles.mp3","Task",1
"ɟ i f e ʒ","gifej","ie",-23.50725783914693,-25.179036508558365,-24.87841662264246,1.2121684741836356,1.0053026957384814,1.2120754128304632,1.0052306294125322,6,"gifej.mp3","Task",1
"b i f i z","bifiz","ii",-17.367817790823707,-14.539143873848408,-14.5814801904761,1.3006774174319915,1.0215979149021732,1.300424750199676,1.0206250474382526,6,"bifiz.mp3","Task",1
"l i v o h","livoh","io",-19.595109788952644,-27.49272636985236,-27.15263118582112,1.1574639446613604,1.0022967539016463,1.1574688518675773,1.0023928574967222,6,"livoh.mp3","Task",1
"l i ʒ o h","lijoh","io",-21.63837167405498,-29.2969489690406,-28.811359959835062,1.1271576108556265,1.0003270467676877,1.1272152878236117,1.0005276672406118,6,"lijoh.mp3","Task",1
"l i ʒ u v","lijuv","iu",-21.791901518688565,-27.90170599209823,-27.610340559309456,1.1474829849634645,1.0007835188902832,1.1475039403773133,1.000955566256444,6,"lijuv.mp3","Task",1
